country,code,total
Albania,ALB,53242
Australia,AUS,84331
Austria,AUT,37385
Azerbaijan,AZE,26364
Bulgaria,BGR,22543
Canada,CAN,31987
Switzerland,CHE,111442
Czech Republic,CZE,53175
Germany,DEU,142630
Spain,ESP,212008
Finland,FIN,3436
United Kingdom,GBR,188709
Greece,GRC,320088
Latvia,LVA,5501
Poland,POL,30534
Singapore,SGP,2589
Slovakia,SVK,6869
Slovenia,SVN,33511
Turkey,TUR,1135219
United States of America,USA,4856934
South Korea,KOR,697735
North Korea,KOR,697735
Bosnia and Herzegovina,BIH,31469
Japan,JPN,25603
Morocco,MAR,140548
Tanzania,TZA,33589
Zambia,ZMB,552
