country,code,total
Albania,ALB,36864
Australia,AUS,1125499
Austria,AUT,232056
Azerbaijan,AZE,6414
Belgium,BEL,423310
Benin,BEN,13391
Bulgaria,BGR,144493
Belarus,BLR,73789
Brazil,BRA,218690
Botswana,BWA,13072
Canada,CAN,1647775
Switzerland,CHE,657328
Chile,CHL,724387
Costa Rica,CRI,14792
Cyprus,CYP,107059
Czech Republic,CZE,305707
Germany,DEU,3642846
Denmark,DNK,266889
Spain,ESP,2870826
Estonia,EST,113561
Finland,FIN,101102
France,FRA,1460806
Gabon,GAB,9555
United Kingdom,GBR,2786000
Greece,GRC,390289
Croatia,HRV,149559
Hungary,HUN,333225
Ireland,IRL,458985
Iceland,ISL,42842
Israel,ISR,177373
Italy,ITA,1338241
Kuwait,KWT,292678
Liechtenstein,LIE,2931
Lithuania,LTU,223935
Luxembourg,LUX,50482
Latvia,LVA,43661
Malta,MLT,45655
Mongolia,MNG,60227
Malaysia,MYS,327148
Netherlands,NLD,1387713
Norway,NOR,246877
New Zealand,NZL,491816
Panama,PAN,321605
Peru,PER,610857
Papua New Guinea,PNG,58360
Poland,POL,160100
Portugal,PRT,292141
Romania,ROU,715161
Russia,RUS,18057
Singapore,SGP,190283
Slovakia,SVK,26996
Slovenia,SVN,120384
Sweden,SWE,523992
Thailand,THA,70793
Turkey,TUR,1615157
Uganda,UGA,256792
United States of America,USA,4554234
South Korea,KOR,100806
North Korea,KOR,100805
